Country,Population
Afghanistan,9139124
Albania,1715734
Algeria,18060242
Andorra,0
Angola,7381240
Antigua+Barbuda,50908
Argentina,22247051
Armenia,1646495
Australia,14409640
Austria,5868331
Azerbaijan,4860313
Bahamas,209350
Bahrain,730710
Bangladesh,67978089
Barbados,174614
Belarus,6112053
Belgium,7326890
Belize,136867
Benin,3123278
Bhutan,332270
Bolivia,4287846
Bosnia+Herzegovina,2307070
Botswana,865513
Brazil,107493497
Brunei Darussalam,208749
Bulgaria,4985263
Burkina Faso,4879514
Burundi,2761479
Cambodia,6141219
Cameroon,6610071
Canada,23143863
Cape Verde,200736
Central African Rep.,1300887
Chad,3473936
Chile,9873965
China,838112955
Colombia,24153485
Comoros,245538
Congo,1608799
Cook Islands,0
Costa Rica,2511366
Croatia,2850307
Cuba,7325708
Cyprus,674249
Czech Republic,7228075
Cote dIvoire,6827242
Dem.Peo.Rep.of Korea,14085038
Dem.Rep.of the Congo,21048070
Denmark,3635668
Djibouti,349269
Dominica,0
Dominican Republic,4591143
Ecuador,7162078
Egypt,37928219
El Salvador,2729964
Equatorial Guinea,403937
Eritrea,1446131
Estonia,869574
Ethiopia,29139353
Fiji,411419
Finland,3593374
France,41263517
Gabon,708852
Gambia,531604
Georgia,2409439
Germany,57102356
Ghana,9188487
Greece,7840677
Grenada,47064
Guatemala,5518624
Guinea,3610759
Guinea-Bissau,530135
Guyana,330252
Haiti,3968965
Honduras,3318352
Hungary,6618944
Iceland,192903
India,579586775
Indonesia,120628028
Isl.Rep.of Iran,38794664
Iraq,11449955
Ireland,2858969
Israel,4058839
Italy,42586354
Jamaica,1405534
Japan,92474374
Jordan,3338256
Kazakhstan,8652843
Kenya,14138681
Kiribati,41019
Kuwait,2309781
Kyrgyzstan,2375865
Lao Peo.Dem.Rep.,2397845
Latvia,1333408
Lebanon,2764517
Lesotho,705625
Liberia,1382686
Libyan Arab Jamahiriya,2797726
Lithuania,1932012
Luxembourg,364113
Madagascar,7333048
Malawi,4598736
Malaysia,13931771
Maldives,185213
Mali,4525414
Malta,281429
Marshall Islands,0
Mauritania,1352307
Mauritius,728385
Mexico,57722042
Fed.Sts.of Micronesia,34300
Monaco,0
Mongolia,1310510
Morocco+W.Sahara,16190038
Mozambique,7777434
Myanmar,24232137
Namibia,795905
Nauru,0
Nepal,11056592
Netherlands,10961430
New Zealand,2718763
Nicaragua,2496580
Niger,5092802
Nigeria,53367778
Niue,0
Norway,3232385
Oman,1957647
Pakistan,68569468
Palau,0
Panama,1885242
Papua New Guinea,2857241
Paraguay,2696364
Peru,14326413
Philippines,40801454
Poland,25212936
Portugal,7289169
Qatar,1345012
Rep.of Korea,33566926
Rep.of Moldova,2426119
Romania,13149343
Russian Fed.,91833151
Rwanda,3604550
St.Kitts+Nevis,0
St.Lucia,95911
St.Vincent+Grenadines,54424
Samoa,71689
San Marino,0
Sao Tome+Principe,56479
Saudi Arabia,15652317
Senegal,4371569
Serbia+Montenegro,6029195
Seychelles,53966
Sierra Leone,2122769
Singapore,3591845
Slovakia,3542926
Slovenia,1433906
Solomon Islands,196293
Somalia,3658855
South Africa,23634999
Spain,32671263
Sri Lanka,11054991
Sudan,15514962
Suriname,263006
Swaziland,388899
Sweden,6203975
Switzerland,5579756
Syrian Arab Rep.,6525923
Tajikistan,3022030
Thailand,42178807
Fmr.Yugoslav Rep.of Macedonia,1280739
Timor-Leste,351176
Togo,2284578
Tonga,39223
Trinidad+Tobago,778151
Tunisia,5840267
Turkey,38949950
Turkmenistan,2318317
Tuvalu,0
Uganda,9614384
Ukraine,29524436
United Arab Emirates,5632358
United Kingdom,41488782
United Rep.of Tanzania,15052018
United Sts.of America,191776619
Uruguay,1933963
Uzbekistan,13220302
Vanuatu,96395
Boliv.Rep.of Venezuela,14188732
Viet Nam,47489783
Yemen,7660476
Zambia,4222486
Zimbabwe,4540335
PuertoRico_VirginIslands,216869
