Country,CasesMEANper10Mt,CostsMEAN2018USDperkt
Afghanistan,,
Albania,,
Algeria,301.6505882,3.861589751
Andorra,,
Angola,,
Antigua+Barbuda,,
Argentina,325.0434118,6.814732202
Armenia,,
Australia,86.50917647,12.13265081
Austria,20.43447059,3.940636802
Azerbaijan,,
Bahamas,,
Bahrain,,
Bangladesh,,
Barbados,,
Belarus,,
Belgium,36.14682353,6.60375124
Belize,,
Benin,,
Bhutan,,
Bolivia,,
Bosnia+Herzegovina,,
Botswana,,
Brazil,894.0175294,17.61021573
Brunei Darussalam,,
Bulgaria,13.50082353,0.380922918
Burkina Faso,,
Burundi,,
Cambodia,,
Cameroon,,
Canada,176.554,26.38556555
Cape Verde,,
Central African Rep.,,
Chad,,
Chile,87.24623529,2.743575188
China,5702.689529,41.28211192
Colombia,284.8131765,3.982422143
Comoros,,
Congo,,
Cook Islands,,
Costa Rica,43.97035294,0.852865948
Croatia,17.74552941,1.015981122
Cuba,,
Cyprus,,
Czech Republic,40.16882353,3.275657808
Cote dIvoire,,
Dem.Peo.Rep.of Korea,,
Dem.Rep.of the Congo,,
Denmark,,
Djibouti,,
Dominica,,
Dominican Republic,,
Ecuador,105.1217647,1.428881883
Egypt,,
El Salvador,,
Equatorial Guinea,,
Eritrea,,
Estonia,,
Ethiopia,855.7196471,0.442531865
Fiji,,
Finland,18.44635294,3.516611645
France,49.87588235,8.646004604
Gabon,,
Gambia,,
Georgia,,
Germany,118.0043529,20.70124883
Ghana,,
Greece,,
Grenada,,
Guatemala,,
Guinea,,
Guinea-Bissau,,
Guyana,,
Haiti,,
Honduras,,
Hungary,27.53494118,1.48650141
Iceland,,
India,17843.21282,52.09460293
Indonesia,,
Isl.Rep.of Iran,,
Iraq,,
Ireland,,
Israel,,
Italy,65.70447059,9.675986582
Jamaica,,
Japan,398.9012941,61.30657731
Jordan,74.69647059,0.679539712
Kazakhstan,,
Kenya,,
Kiribati,,
Kuwait,30.03670588,4.40208642
Kyrgyzstan,,
Lao Peo.Dem.Rep.,,
Latvia,9.422588235,0.44218902
Lebanon,50.01729412,1.144067955
Lesotho,,
Liberia,,
Libyan Arab Jamahiriya,,
Lithuania,7.496705882,0.367994531
Luxembourg,,
Madagascar,,
Malawi,,
Malaysia,89.41258824,2.06548189
Maldives,,
Mali,,
Malta,,
Marshall Islands,,
Mauritania,,
Mauritius,,
Mexico,,
Fed.Sts.of Micronesia,,
Monaco,,
Mongolia,,
Morocco+W.Sahara,205.5910588,1.709873385
Mozambique,,
Myanmar,,
Namibia,,
Nauru,,
Nepal,,
Netherlands,89.87129412,18.66366007
New Zealand,,
Nicaragua,,
Niger,,
Nigeria,847.0908235,2.82645191
Niue,,
Norway,84.85423529,30.74282166
Oman,36.48294118,1.864685084
Pakistan,,
Palau,,
Panama,,
Papua New Guinea,,
Paraguay,,
Peru,242.5257647,2.759178191
Philippines,127.1762353,0.62758728
Poland,54.72882353,2.807911347
Portugal,,
Qatar,,
Rep.of Korea,415.3569412,31.97184092
Rep.of Moldova,,
Romania,37.38823529,1.264329857
Russian Fed.,448.4811765,9.858275451
Rwanda,,
St.Kitts+Nevis,,
St.Lucia,,
St.Vincent+Grenadines,,
Samoa,,
San Marino,,
Sao Tome+Principe,,
Saudi Arabia,,
Senegal,,
Serbia+Montenegro,,
Seychelles,,
Sierra Leone,,
Singapore,13.44729412,1.658709719
Slovakia,11.64129412,0.795758702
Slovenia,9.177764706,0.886596753
Solomon Islands,,
Somalia,,
South Africa,,
Spain,301.6157647,38.27343987
Sri Lanka,,
Sudan,,
Suriname,,
Swaziland,,
Sweden,50.35505882,10.82406237
Switzerland,,
Syrian Arab Rep.,,
Tajikistan,,
Thailand,272.3051765,3.254278275
Fmr.Yugoslav Rep.of Macedonia,,
Timor-Leste,,
Togo,,
Tonga,,
Trinidad+Tobago,,
Tunisia,31.69694118,0.418204286
Turkey,453.1711765,13.81828768
Turkmenistan,,
Tuvalu,,
Uganda,,
Ukraine,173.6477647,1.311544908
United Arab Emirates,63.76176471,10.38478471
United Kingdom,95.55682353,15.35842421
United Rep.of Tanzania,,
United Sts.of America,1198.220118,219.239608
Uruguay,13.91188235,0.299943775
Uzbekistan,,
Vanuatu,,
Boliv.Rep.of Venezuela,194.2377647,4.357863666
Viet Nam,680.9597647,1.923436337
Yemen,,
Zambia,,
Zimbabwe,,
PuertoRico,6.128235294,1.121289723
