Country,VSLmillionsUSD2018
Afghanistan,0.07289403
Albania,0.73732023
Algeria,0.575811328
Andorra,5.881625615
Angola,0.480326477
Antigua+Barbuda,0
Argentina,1.635046522
Armenia,0.589435265
Australia,8.028847256
Austria,7.20156222
Azerbaijan,0.660679484
Bahamas,0
Bahrain,3.365651914
Bangladesh,0.237654113
Barbados,2.511814176
Belarus,0.8802111
Belgium,6.649736013
Belize,0.683568602
Benin,0.126161634
Bhutan,0.470234196
Bolivia,0.496588068
Bosnia+Herzegovina,0.848827442
Botswana,1.155710506
Brazil,1.248367335
Brunei Darussalam,4.426053745
Bulgaria,1.297607469
Burkina Faso,0.100073969
Burundi,0.038028856
Cambodia,0.211354166
Cameroon,0.214631168
Canada,6.469823247
Cape Verde,0
Central African Rep.,0.066572212
Chad,0.101924016
Chile,2.228307478
China,1.367327835
Colombia,0.933087556
Comoros,0.198051339
Congo,0.300557868
Cook Islands,0
Costa Rica,1.683104035
Croatia,2.086455589
Cuba,1.234521267
Cyprus,3.940599694
Czech Republic,3.229604931
Cote dIvoire,0.240070663
Dem.Peo.Rep.of Korea,0
Dem.Rep.of the Congo,0.07861484
Denmark,8.585339394
Djibouti,0.43136966
Dominica,1.076323286
Dominican Republic,1.126601674
Ecuador,0.887898459
Egypt,0.356724392
El Salvador,0.567909975
Equatorial Guinea,1.436025964
Eritrea,0.113543587
Estonia,3.255881768
Ethiopia,0.108077199
Fiji,0.876996607
Finland,7.018295351
France,5.802403223
Gabon,1.112872806
Gambia,0.100213291
Georgia,0.66011482
Germany,6.661545734
Ghana,0.308190549
Greece,2.844166671
Grenada,1.48902621
Guatemala,0.636586373
Guinea,0.122950825
Guinea-Bissau,0.108868752
Guyana,0.69675927
Haiti,0.121515382
Honduras,0.34986469
Hungary,2.261700099
Iceland,10.24233106
India,0.281275514
Indonesia,0.54486804
Isl.Rep.of Iran,0.787544637
Iraq,0.816430529
Ireland,11.02813575
Israel,5.837581961
Italy,4.825563665
Jamaica,0.749269437
Japan,5.498218664
Jordan,0.593593966
Kazakhstan,1.373170878
Kenya,0.239367994
Kiribati,0.227441787
Kuwait,4.757161578
Kyrgyzstan,0.17931344
Lao Peo.Dem.Rep.,0.355794392
Latvia,2.499406534
Lebanon,1.157270274
Lesotho,0.181802889
Liberia,0.094784153
Libyan Arab Jamahiriya,1.013400785
Lithuania,2.680319221
Luxembourg,16.32253214
Madagascar,0.073818287
Malawi,0.054492181
Malaysia,1.591564981
Maldives,1.445661585
Mali,0.125897993
Malta,4.211939886
Marshall Islands,0.530113866
Mauritania,0.166364964
Mauritius,1.572737151
Mexico,1.353697247
Fed.Sts.of Micronesia,0
Monaco,25.99254906
Mongolia,0.576793336
Morocco+W.Sahara,0.453107905
Mozambique,0.069823843
Myanmar,0.185553241
Namibia,0.830044921
Nauru,1.383847209
Nepal,0.144685229
Netherlands,7.420162393
New Zealand,5.86981037
Nicaragua,0.283922596
Niger,0.057932213
Nigeria,0.28382285
Niue,0
Norway,11.43267493
Oman,2.297129539
Pakistan,0.207446801
Palau,2.219362
Panama,2.17956847
Papua New Guinea,0.382073396
Paraguay,0.814702012
Peru,0.971353343
Philippines,0.434192277
Poland,2.157995197
Portugal,3.275691653
Qatar,9.626970469
Rep.of Korea,4.388888978
Rep.of Moldova,0.45162858
Romania,1.721422352
Russian Fed.,1.579759604
Rwanda,0.108165491
St.Kitts+Nevis,0
St.Lucia,0
St.Vincent+Grenadines,0
Samoa,0.585424177
San Marino,0
Sao Tome+Principe,0
Saudi Arabia,3.266043783
Senegal,0.212981479
Serbia+Montenegro,1.014104286
Seychelles,2.299757325
Sierra Leone,0.07472648
Singapore,9.037567463
Slovakia,2.720803278
Slovenia,3.655776856
Solomon Islands,0.29914745
Somalia,0.044017165
South Africa,0.891978566
Spain,4.250088666
Sri Lanka,0.574099348
Sudan,0.136759222
Suriname,0.872389372
Swaziland,0
Sweden,7.641868751
Switzerland,11.58651063
Syrian Arab Rep.,0
Tajikistan,0.115677036
Thailand,1.017859081
Fmr.Yugoslav Rep.of Macedonia,0.851352824
Timor-Leste,0.284851676
Togo,0.095054923
Tonga,0.610698325
Trinidad+Tobago,0
Tunisia,0.482442667
Turkey,1.311258156
Turkmenistan,0.974907747
Tuvalu,0.517875746
Uganda,0.089949881
Ukraine,0.433137163
United Arab Emirates,6.018093341
United Kingdom,6.009549879
United Rep.of Tanzania,0.14703101
United Sts.of America,8.787445358
Uruguay,2.417871169
Uzbekistan,0.214439386
Vanuatu,0.437156201
Boliv.Rep.of Venezuela,0
Viet Nam,0.359168394
Yemen,0.13216009
Zambia,0.215492918
Zimbabwe,0.300449684
PuertoRico_VirginIslands,8.787445358
